会社ID,会社名,地域,都道府県,本社所在地,営業エリア,戸建て取扱,収益不動産取扱,その他取扱物件,問い合わせフォーム,公式URL,問い合わせURL,サービスURL,電話番号,特徴・強み,根拠URL,確認日,確認状態,優先度,備考,事業者区分,公開メールアドレス,公式サイト確信度,公式サイトスコア,物上げ適性スコア,物上げ適性シグナル
RE-0013,株式会社穴吹ハウジングサービス,中国・四国,香川県,香川県高松市,中国・四国・関西・九州・関東ほか,あり,あり,マンション管理・土地売買・戸建賃貸・資産活用,あり,https://www.anabuki-housing.co.jp/,https://www.anabuki-housing.co.jp/contact/form/?contact_type_group_cd=f,https://www.anabuki-housing.co.jp/service/for_asset-management/,0800-500-5505,管理・資産活用・不動産売買をグループネットワークで支援,https://www.anabuki-housing.co.jp/service/for_asset-management/ | https://www.anabuki-housing.co.jp/contact/form/?contact_type_group_cd=f,2026-07-15,確認済み,B,2026年1月にフォーム不具合告知があったため送信可否を定期確認,,,,,,
RE-MLIT-23-00000009,ロイヤル商事有限会社,中部,愛知県,要確認,愛知県,要確認,要確認,土地・事業用,要確認,https://kaisharesearch.com/company/detail/3180002033548/,要確認,https://kaisharesearch.com/company/detail/3180002033548/,要確認,公式サイト自動確認（確信度中・75点）,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1 | https://kaisharesearch.com/company/detail/3180002033548/,2026-08-17,一部自動確認,C,免許行政庁: 愛知県; 免許番号: 第000009号; 自動追加日: 2026-08-11; 公式サイト自動確認日: 2026-08-17,宅地建物取引業者,要確認,中,75,0,
RE-MLIT-23-00000099,丸星商事有限会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000099号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000828,大和商事株式会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000828号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000819,小田井不動産株式会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000819号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000129,岡谷不動産株式会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000129号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000182,東晃商事合資会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000182号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000598,東邦ガス不動産開発株式会社,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000598号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000328,株式会社三栄商会,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000328号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000088,株式会社中京不動産,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000088号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-23-00000741,株式会社泉不動産,中部,愛知県,要確認,愛知県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=23&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-11,公的登録確認・公式サイト要確認,B,免許行政庁: 愛知県; 免許番号: 第000741号; 自動追加日: 2026-08-11,宅地建物取引業者,,,,,
RE-MLIT-47-00000289,前田商事,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000289号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000374,合名会社 総合センター,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000374号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000275,合資会社たばた商事,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000275号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000217,安田住宅 株式会社,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000217号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000273,新拓不動産,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000273号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000122,有限会社 南西リアルティ,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000122号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000199,株式会社 スリーハート,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000199号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000221,株式会社 千代正不動産,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000221号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000244,株式会社 國場組,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000244号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-MLIT-47-00000078,沖縄協栄産業 株式会社,九州・沖縄,沖縄県,要確認,沖縄県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=47&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-17,公的登録確認・公式サイト要確認,B,免許行政庁: 沖縄県; 免許番号: 第000078号; 自動追加日: 2026-08-17,宅地建物取引業者,,,,,
RE-0016,GLC株式会社,九州・沖縄,福岡県,福岡県福岡市博多区,東京・福岡・熊本・沖縄,なし,あり,一棟賃貸マンション・土地活用・賃貸管理,あり,https://goodlife-c.jp/,https://www.goodlife-c.jp/contact/investment/,https://goodlife-c.jp/sales/category/fukuoka/,092-471-4123,一棟賃貸マンションの開発・運用・売却を一体支援,https://goodlife-c.jp/index.php | https://www.goodlife-c.jp/contact/investment/ | https://goodlife-c.jp/sales/category/fukuoka/,2026-07-15,確認済み,A,戸建て仲介ではなく収益マンション特化として分類,,,,,,
RE-MLIT-40-00001133,中央不動産株式会社,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第001133号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00000999,千代田土地株式会社,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第000999号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00000672,協和商事株式会社,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第000672号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00000309,博多港開発株式会社 ※,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第000309号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00001053,太陽地所株式会社,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第001053号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00000601,有限会社祝産業 ※,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第000601号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-0015,株式会社三好不動産,九州・沖縄,福岡県,福岡県福岡市中央区,福岡中心・首都圏,あり,あり,一棟賃貸・分譲マンション・土地・賃貸管理・相続,あり,https://www.miyoshi.co.jp/,https://www.miyoshi.co.jp/contact/,https://www.miyoshi.co.jp/company/bases/,0120-78-1000,福岡で一棟・分譲マンション・戸建ての資産管理窓口を展開,https://www.miyoshi.co.jp/company/bases/ | https://www.miyoshi.co.jp/enterprises/management/rental/rent_house/,2026-07-15,確認済み,A,投資物件の売買メニューは部署別に追加調査,,,,,,
RE-MLIT-40-00000803,株式会社芳賀,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-13,公的登録確認・公式サイト要確認,B,免許行政庁: 福岡県; 免許番号: 第000803号; 自動追加日: 2026-08-13,宅地建物取引業者,,,,,
RE-MLIT-40-00000090,株式会社藤本建設,九州・沖縄,福岡県,要確認,福岡県,要確認,要確認,要確認,あり,https://data-link-plus.com/jp/corporation/8290801010500,https://data-link-plus.com/jp/inquiry-form,https://data-link-plus.com/jp/corporation/8290801010500,093-691-2872,公式サイト自動確認（確信度高・95点）。問い合わせ導線あり。物上げ適性C（5点: 問い合わせ導線）,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=40&pageCount=1&pageListNo1=1&pageListNo2=1 | https://data-link-plus.com/jp/corporation/8290801010500 | https://data-link-plus.com/jp/inquiry-form,2026-08-19,自動確認済み,C,免許行政庁: 福岡県; 免許番号: 第000090号; 自動追加日: 2026-08-13; 公式サイト自動確認日: 2026-08-19,宅地建物取引業者,要確認,高,95,5,問い合わせ導線
